Bet,Date,Bookie,Bookies.Odds,Bookies.Decimal,Bookie.Stake,Bookie.Return,Exchange,Lay.Stake,Lay.Decimal,value_ratio,lay_win,Lay.Return.Total,Liability,Profit,Win.Loss,E1.Profit,AB.Profit,AB.E1,implied_prob_back,implied_prob_lay,edge_prob,exposure,roi_exposure,win01
Man Utd 7+ SOT,2025-05-08,Sky Bet,4,5,60,300,Betdaq,61.4,4.7,1.06,122.8,288.58,227.18,12.82,Loss,0,0.17,AB,0.2,0.212765957446809,0.0127659574468085,287.18,0.000591963228637092,0
Guglielmo Vicario 4+ saves,2025-05-08,Sky Bet,2.25,3.25,110,357.5,Betdaq,112.2,3.1,1.05,224.4,347.82,235.62,11.88,Loss,0,-0.04,AB,0.307692307692308,0.32258064516129,0.0148883374689826,345.62,-0.000115734043168798,0
Ryan Moore (Chester) to ride 1+ winners,2025-05-09,Sky Bet,0.8,1.8,20,36,Betdaq,20.4,1.62,1.11,40.8,33.05,12.65,3.35,Loss,0,-0.01,AB,0.555555555555556,0.617283950617284,0.0617283950617283,32.65,-0.000306278713629403,0
The foxes to win,2025-05-09,Bet365,2.25,3.25,10,32.5,Smarkets,10,2.69,1.21,20,26.9,16.9,5.6,Win,0,5.6,AB,0.307692307692308,0.371747211895911,0.0640549042036031,26.9,0.20817843866171,1
Coventry and Sunderland to have 2.5+ SOT,2025-05-09,Bet365,2,3,10,30,Smarkets,10.08,2.54,1.18,20.16,25.6,15.52,4.48,Win,0,4.48,AB,0.333333333333333,0.393700787401575,0.0603674540682415,25.52,0.175548589341693,1
Man City most corners each half and Southampton most fouls committed each half,2025-05-10,Skybet,5,6,25,150,Betdaq,25.5,5.69,1.05,51,145.1,119.6,5.41,Loss,0,-0.01,AB,0.166666666666667,0.175746924428822,0.00908025776215582,144.6,-6.91562932226833e-05,0
Rainbows Edge to win,2025-05-10,Betway,4,5,0.99,4.95,Smarkets,0.99,3.9,1.28,1.98,3.86,2.87,1.09,Win,0,1.09,AB,0.2,0.256410256410256,0.0564102564102564,3.86,0.282383419689119,1
Harvey Barnes SOT,2025-05-11,Sky Bet,1,2,10,20,Smarkets,10,1.84,1.09,20,18.4,8.4,1.6,Win,0,1.6,AB,0.5,0.543478260869565,0.0434782608695652,18.4,0.0869565217391304,1
Palmer 1+ SOT,2025-05-11,William Hill,1,2,10,20,Smarkets,10,1.61,1.24,20,16.1,6.1,3.9,Win,0,3.9,AB,0.5,0.62111801242236,0.12111801242236,16.1,0.24223602484472,1
Newcastle v Chelsea over 2.5+ goals,2025-05-11,Betvictor,1,2,2,4,Smarkets,2,1.62,1.23,4,3.24,1.24,0.76,Loss,0,0,AB,0.5,0.617283950617284,0.117283950617284,3.24,0,0
Zarigana to win,2025-05-11,Sky Bet,1.75,2.75,20,55,Smarkets,20,2.52,1.09,40,50.4,30.4,4.6,Win,0,4.6,AB,0.363636363636364,0.396825396825397,0.0331890331890332,50.4,0.0912698412698413,1
Hamer 1+ SOT,2025-05-12,Sky Bet,1,2,10,20,Smarkets,10,1.84,1.09,20,18.4,8.4,1.6,Win,0,1.6,AB,0.5,0.543478260869565,0.0434782608695652,18.4,0.0869565217391304,1
3 Cascade Hall - Win,2025-05-12,Unibet,4,5,200,1000,Betdaq,200,4.9,1.02,400,980,780,20,Loss,0,-4,AB,0.2,0.204081632653061,0.00408163265306119,980,-0.00408163265306122,0
Scheffler to make 4+ birdies,2025-05-18,Sky Bet,1,2,10,20,Betdaq,10.2,1.86,1.08,20.4,18.97,8.77,1.23,Win,0,1.23,AB,0.5,0.537634408602151,0.0376344086021505,18.77,0.0655301012253596,1
Scheffler to win,2025-05-19,Sky Bet,4.5,5.5,150,825,Smarkets,150,5.1,1.08,300,765,615,60,Win,0,60,AB,0.181818181818182,0.196078431372549,0.0142602495543672,765,0.0784313725490196,1
Scheffler to win,2025-05-19,Sky Bet,2,3,250,750,Smarkets,253,2.66,1.13,506,672.98,419.98,80.02,Win,0,80.02,AB,0.333333333333333,0.37593984962406,0.0426065162907268,669.98,0.1194364010866,1
Palmer score or assist,2025-05-28,Unibet,2,3,10,30,Smarkets,10,2.46,1.22,20,24.6,14.6,5.4,Win,0,5.4,AB,0.333333333333333,0.40650406504065,0.0731707317073171,24.6,0.219512195121951,1
