Bet,Date,Bookie,Bookies.Odds,Bookies.Decimal,Bookie.Stake,Bookie.Return,Exchange,Lay.Stake,Lay.Decimal,value_ratio,lay_win,Lay.Return.Total,Liability,Profit,Win.Loss,E1.Profit,AB.Profit,AB.E1,implied_prob_back,implied_prob_lay,edge_prob,exposure,roi_exposure,win01
Salah 2+ SOT,2025-02-26,PP,1.2,2.2,5,11,Betdaq,5.1,2.08,1.04,10.2,10.61,5.51,0.49,Loss,0,0,Both,0.454545454545455,0.480769230769231,0.0262237762237762,10.51,0,0
Mbeumo 2+ SOT,2025-02-26,Skybet,3,4,20,80,Betdaq,20.4,3.9,1.06,40.8,79.56,59.16,0.84,Loss,0,-0.01,AB,0.25,0.256410256410256,0.00641025641025644,79.16,-0.000126326427488631,0
Luke Humphries to have most 180s,2025-02-27,Pricedup,1.65,2.65,20,53,Smarkets,20.2,2.5,1.05,40.4,50.5,30.3,2.7,Win,0,2.7,AB,0.377358490566038,0.4,0.0226415094339623,50.3,0.0536779324055666,1
Cunha 1+ SOT Super Boost,2025-02-28,Betfair,1,2,20,40,Betdaq,20.4,1.77,1.04,40.8,36.11,15.71,4.29,Win,0,4.29,AB,0.5,0.564971751412429,0.0649717514124294,35.71,0.120134416129936,1
Rashford to score or assist,2025-02-28,Bet365,1,2,10,20,Betdaq,10.2,1.9,1.02,20.4,19.38,9.18,0.82,Win,0,0.82,AB,0.5,0.526315789473684,0.0263157894736842,19.18,0.0427528675703858,1
Villa to Win and Rashford to score,2025-02-28,Unibet,2.25,3.25,16.36,53.17,Betdaq,16.86,2.91,0.63,33.72,49.06,32.2,4.61,Loss,0,0.16,AB,0.307692307692308,0.343642611683849,0.0359503039915411,48.56,0.00329489291598023,0
Leeds and brum to Win,2025-02-28,Skybet,2,3,10,30,Betdaq,10,2.61,1.13,20,26.1,16.1,3.9,Loss,0,-0.2,AB,0.333333333333333,0.383141762452107,0.049808429118774,26.1,-0.00766283524904215,0
Man City 3.5 goals and 10.5 corners +,2025-03-01,Betway,3,4,10,40,Betdaq,10.2,3.5,1.14,20.4,35.7,25.5,4.5,Win,0,4.5,AB,0.25,0.285714285714286,0.0357142857142857,35.5,0.126760563380282,1
Grey dawning to win,2025-03-01,Skybet,1.5,2.5,10,25,Smarkets,10.29,2.32,1.08,20.58,23.87,13.58,1.42,Win,0,1.42,AB,0.4,0.431034482758621,0.0310344827586207,23.58,0.0602205258693808,1
Grey dawning to win,2025-03-01,Bet365,1.5,2.5,10,25,Smarkets,10.2,2.26,1.11,20.4,23.05,12.85,2.15,Win,0,2.15,AB,0.4,0.442477876106195,0.0424778761061947,22.85,0.0940919037199125,1
bournemouth W and BTTS,2025-03-01,Unibet,2.4,3.4,10,34,Smarkets,10.2,3.3,1.03,20.4,33.66,23.46,0.54,Loss,0,0,AB,0.294117647058824,0.303030303030303,0.0089126559714795,33.46,0,0
"Palace to W, most SOT, and bot teams to get carded",2025-03-01,Bet365,2,3,10,30,Smarkets,10.2,2.6,1.15,20.4,26.52,16.32,3.68,Loss,0,0,AB,0.333333333333333,0.384615384615385,0.0512820512820513,26.32,0,0
Newcastle brighton BTTS and 2.5+ SOT,2025-03-02,Bet365,1.75,2.75,10,27.5,Smarkets,10.2,2.4,1.15,20.4,24.48,14.28,3.22,Win,0,3.22,AB,0.363636363636364,0.416666666666667,0.053030303030303,24.28,0.132619439868204,1
Huntingdon to win,2025-03-02,WH,1.37,2.37,10,23.7,Smarkets,10.2,2.3,1.03,20.4,23.46,13.26,0.44,Loss,0,0,AB,0.421940928270042,0.434782608695652,0.0128416804256101,23.26,0,0
Lewondoski FGS,2025-03-02,Unibet,3.5,4.5,10,45,Smarkets,10.2,4.3,1.05,20.4,43.86,33.66,1.34,Loss,0,0,AB,0.222222222222222,0.232558139534884,0.0103359173126615,43.66,0,0
Zubimendi 3+ Fouls,2025-03-02,Skybet,4,5,10,50,Smarkets,10.2,4.9,1.02,20.4,49.98,39.78,0.22,Loss,0,0,AB,0.2,0.204081632653061,0.00408163265306119,49.78,0,0
Greenwood to score,2025-03-02,Unibet,2,3,10,30,Smarkets,10.28,2.78,1.08,20.56,28.58,18.3,1.7,Win,0,1.7,AB,0.333333333333333,0.359712230215827,0.0263788968824941,28.3,0.0600706713780919,1
Gibbs-White 1+ shots on target,2025-03-03,Sky Bet,1,2,10,20,Betdaq,10,1.84,1.09,20,18.4,8.4,1.6,Loss,0,-0.2,AB,0.5,0.543478260869565,0.0434782608695652,18.4,-0.0108695652173913,0
Jack Kennedy (Leopardstown) to ride 1 or more winners,2025-03-03,Sky Bet,1,2,20,40,Betdaq,20,1.94,1.03,40,38.8,18.8,1.2,Loss,0,-0.4,AB,0.5,0.515463917525773,0.0154639175257733,38.8,-0.0103092783505155,0
"Nottingham Forest, Juventus & Villarreal all to win",2025-03-03,BetMGM,2.25,3.25,10,32.5,Betdaq,10.2,2.96,1.1,20.4,30.19,19.99,2.51,Void,0,0,AB,0.307692307692308,0.337837837837838,0.0301455301455301,29.99,0,NA
"Nottingham Forest, Juventus & Villarreal all to win",2025-03-03,BetMGM,2.6,3.6,10,36,Betdaq,10.2,3.15,1.14,20.4,32.13,21.93,4.07,Void,0,0,AB,0.277777777777778,0.317460317460317,0.0396825396825397,31.93,0,NA
Gibbs-White To Score Or Assist,2025-03-03,Unibet,1.75,2.75,10,27.5,Smarkets,10.2,2.58,1.07,20.4,26.32,16.12,1.38,Void,0,0,AB,0.363636363636364,0.387596899224806,0.0239605355884425,26.12,0,NA
Liam Delap 0.5+ SOT,2025-03-03,PricedUp,1,2,20,40,Smarkets,20.4,1.94,1.03,40.8,39.58,19.18,0.82,Win,0,0.82,AB,0.5,0.515463917525773,0.0154639175257733,39.18,0.0209290454313425,1
"Gs warriors, memphis and miami heat to Win",2025-03-03,BetMGM,1.25,2.25,10,22.5,Betdaq,10.2,2.15,1.05,20.4,21.93,11.73,0.77,Loss,0,0,AB,0.444444444444444,0.465116279069767,0.020671834625323,21.73,0,0
Ollie Watkins 0.5+ SOT,2025-03-04,Bet365,1,2,10,20,Smarkets,10.2,1.76,1.14,20.4,17.95,7.75,2.25,Loss,0,0,AB,0.5,0.568181818181818,0.0681818181818182,17.75,0,0
Mbappe FGS,2025-03-04,PricedUp,4.75,5.75,10,57.5,Smarkets,10,5.5,1.05,20,55,45,2.5,Loss,0,-0.2,AB,0.173913043478261,0.181818181818182,0.00790513833992096,55,-0.00363636363636364,0
Mbappe to score or assist,2025-03-04,Betfair,1.1,2.1,20,42,Smarkets,20,2,1.05,40,40,20,2,Loss,0,-0.4,AB,0.476190476190476,0.5,0.0238095238095238,40,-0.01,0
Mbappe AGS,2025-03-04,PricedUp,1.5,2.5,10,25,Smarkets,10,2.44,1.02,20,24.4,14.4,0.6,Loss,0,-0.2,AB,0.4,0.409836065573771,0.00983606557377048,24.4,-0.00819672131147541,0
"Arsenal, Dortmund & Madrid to win",2025-03-04,BetMGM,7,8,10,80,Betdaq,10,6.9,1.16,20,69,59,11,Loss,0,-0.2,AB,0.125,0.144927536231884,0.0199275362318841,69,-0.00289855072463768,0
Sabitzer 2+ Fouls Committed,2025-03-04,Sky Bet,5,6,10,60,Betdaq,10,5.4,1.11,20,54,44,6,Loss,0,-0.2,AB,0.166666666666667,0.185185185185185,0.0185185185185185,54,-0.0037037037037037,0
Salah & Dembele 1+ SOT,2025-03-05,Unibet,1.5,2.5,10,25,Betdaq,10.2,2.15,1.16,20.4,21.93,11.73,3.27,Loss,0,0,AB,0.4,0.465116279069767,0.0651162790697674,21.73,0,0
Salah & Dembele 1+ SOT,2025-03-05,Betfair,1.5,2.5,20,50,Betdaq,20.4,2.18,1.15,40.8,44.47,24.07,5.93,Loss,0,-0.01,AB,0.4,0.458715596330275,0.0587155963302752,44.07,-0.00022691173133651,0
Barca to win & Lewandowski to score,2025-03-05,Unibet,2.5,3.5,10,35,Betdaq,10.2,3.35,1.04,20.4,34.17,23.97,1.03,Loss,0,0,AB,0.285714285714286,0.298507462686567,0.0127931769722814,33.97,0,0
Inter to win & Martinez to score,2025-03-05,unibet,2.5,3.5,10,35,Betdaq,10.2,3.375,1.04,20.4,34.43,24.23,0.78,Win,0,0.78,AB,0.285714285714286,0.296296296296296,0.0105820105820106,34.23,0.0227870289219982,1
Salah 1+ SOT,2025-03-05,PP,1,2,5,10,Smarkets,5,1.58,1.27,10,7.9,2.9,10,Win,0,10,AB,0.5,0.632911392405063,0.132911392405063,7.9,1.26582278481013,1
Wirtz AGS,2025-03-05,Unibet,4.67,5.67,10,56.7,Smarkets,10.2,5.2,1.09,20.4,53.04,42.84,3.86,Loss,0,0,AB,0.17636684303351,0.192307692307692,0.0159408492741826,52.84,0,0
Salah AA,2025-03-05,Sky Bet,4.5,5.5,20,110,Smarkets,20,4.9,1.12,40,98,78,12,Loss,0,-0.4,AB,0.181818181818182,0.204081632653061,0.0222634508348794,98,-0.00408163265306122,0
Luke Littler to win & Throw 5+ 180s,2025-03-06,PP,2.75,3.75,10,37.5,Betdaq,10.2,3.3,1.14,20.4,33.66,23.46,4.04,Loss,0,0,AB,0.266666666666667,0.303030303030303,0.0363636363636364,33.46,0,0
Sociedad v Man Utd BTTS,2025-03-06,PP,1.7,2.7,10,27,Smarkets,10,2.1,1.29,20,21,11,6,Win,0,6,AB,0.37037037037037,0.476190476190476,0.105820105820106,21,0.285714285714286,1
Son AGS,2025-03-06,Sky Bet,3.33,4.33,10,43.3,Smarkets,10.2,3.9,1.11,20.4,39.78,29.58,3.72,Loss,0,0,AB,0.23094688221709,0.256410256410256,0.0254633741931664,39.58,0,0
Luke Littler to hit 100+ checkout,2025-03-06,Sky Bet,1,2,10,20,Betdaq,10.2,1.8,1.11,20.4,18.36,8.16,1.84,Win,0,1.84,AB,0.5,0.555555555555556,0.0555555555555556,18.16,0.101321585903084,1
Spurs 2+ goals and most SOT,2025-03-06,Bet365,3.5,4.5,10,45,Smarkets,10.2,3.75,1.2,20.4,38.25,28.05,6.95,Loss,0,0,AB,0.222222222222222,0.266666666666667,0.0444444444444445,38.05,0,0
Nottm Forest vs Man City First half Over 0.5 goals,2025-03-07,Bet365,1,2,10.1,20.2,Smarkets,10,1.39,1.44,20,13.9,3.9,6.2,Loss,0,-0.3,AB,0.5,0.719424460431655,0.219424460431655,14,-0.0214285714285714,0
Haaland 1+ SOT,2025-03-07,Sky Bet,1,2,10,20,Smarkets,10,1.53,1.31,20,15.3,5.3,4.7,Loss,0,-0.2,AB,0.5,0.65359477124183,0.15359477124183,15.3,-0.0130718954248366,0
Wirtz Score or Assist,2025-03-07,Unibet,4.75,5.75,15,86.25,Smarkets,15.3,2.72,2.11,30.6,41.62,26.32,44.93,Loss,0,-0.01,AB,0.173913043478261,0.367647058823529,0.193734015345269,41.32,-0.000242013552758955,0
Wood 1+ SOT,2025-03-07,Betfair,1,2,20,40,Betdaq,20,1.89,1.06,40,37.8,17.8,2.2,Win,0,2.2,AB,0.5,0.529100529100529,0.0291005291005292,37.8,0.0582010582010582,1
Belliano in top 6,2025-03-08,Betfair,1,2,10,20,Betdaq,10.2,1.66,1.2,20.4,16.93,6.73,3.27,Loss,0,0,AB,0.5,0.602409638554217,0.102409638554217,16.73,0,0
Halaand + wood 1 SOT,2025-03-08,Betway,1.5,2.5,10,25,Betdaq,10.2,2.44,1.02,20.4,24.89,14.69,0.31,Loss,0,0,AB,0.4,0.409836065573771,0.00983606557377048,24.69,0,0
Florian Wirtz to score or assist,2025-03-08,Unibet,1,2,20,40,Betdaq,20.4,1.85,1.08,40.8,37.74,17.34,2.66,Void,0,-0.01,AB,0.5,0.54054054054054,0.0405405405405405,37.34,-0.000267809319764328,NA
Ireland v France 1+ SOT,2025-03-08,Skybet,3,4,10,40,Betdaq,10.2,3.75,1.07,20.4,38.25,28.05,1.95,Loss,0,0,AB,0.25,0.266666666666667,0.0166666666666667,38.05,0,0
Wood Haaland Marmoush 1+ SOT,2025-03-08,PP,3,4,5,20,Smarkets,5.1,1.92,2.08,10.2,9.79,4.69,10.31,Loss,0,0,AB,0.25,0.520833333333333,0.270833333333333,9.69,0,0
Micheal Olise assist or goal,2025-03-08,Unibet,1,2,15,30,Smarkets,15.3,1.92,1.04,30.6,29.38,14.08,0.92,Void,0,-0.01,AB,0.5,0.520833333333333,0.0208333333333334,29.08,-0.000343878954607978,NA
Antoine Griezmann to score or assist,2025-03-09,Unibet,2,3,15,45,Betdaq,15.3,2.79,1.08,30.6,42.69,27.39,2.61,Loss,0,-0.01,AB,0.333333333333333,0.3584229390681,0.025089605734767,42.39,-0.000235904694503421,0
Son and Semenyo 1+ SOT,2025-03-09,Bet365,2.5,3.5,10,35,Smarkets,10,2.88,1.22,20,28.8,18.8,6.2,Void,0,-0.2,AB,0.285714285714286,0.347222222222222,0.0615079365079365,28.8,-0.00694444444444444,NA
Kluivert 1+ SOT,2025-03-09,Skybet,1,2,10,20,Smarkets,10.2,1.84,1.09,20.4,18.77,8.57,1.43,Win,0,1.43,AB,0.5,0.543478260869565,0.0434782608695652,18.57,0.0770059235325794,1
Arsenal to Win,2025-03-09,PP,1.75,2.75,10,27.5,Smarkets,10.2,1.82,1.51,20.4,18.56,8.36,9.14,Loss,0,0,AB,0.363636363636364,0.549450549450549,0.185814185814186,18.36,0,0
Isak 1+ SOT,2025-03-09,Bet365,1,2,10,20,Smarkets,10.2,1.67,1.2,20.4,17.03,6.83,3.17,Loss,0,0,AB,0.5,0.598802395209581,0.0988023952095809,16.83,0,0
Isak 2+ SOT,2025-03-10,PP,2,3,5,15,Betdaq,5.1,2.66,1.13,10.2,13.57,8.47,1.53,Loss,0,0,AB,0.333333333333333,0.37593984962406,0.0426065162907268,13.47,0,0
Kopek Des Bordes to win,2025-03-10,PP,1.25,2.25,100,225,Smarkets,100,2.18,1.03,200,218,118,7,Win,0,7,AB,0.444444444444444,0.458715596330275,0.0142711518858308,218,0.0321100917431193,1
Kopek Des Bordes to win,2025-03-10,Betway,1.625,2.625,10,26.25,Smarkets,10.2,2.14,1.23,20.4,21.83,11.63,4.62,Win,0,4.62,AB,0.380952380952381,0.467289719626168,0.0863373386737873,21.63,0.213592233009709,1
Lossiemouth to Win,2025-03-10,PP,1,2,2.5,5,Smarkets,2.5,1.76,1.14,5,4.4,1.9,0.6,Win,0,0.6,AB,0.5,0.568181818181818,0.0681818181818182,4.4,0.136363636363636,1
Constitution Hill to win,2025-03-11,Bet365,1,2,10,20,Smarkets,10.2,1.79,1.12,20.4,18.26,8.06,1.94,Loss,0,0,AB,0.5,0.558659217877095,0.0586592178770949,18.06,0,0
Constitution Hill to win,2025-03-11,Skybet,1,2,10,20,Smarkets,10.2,1.83,1.09,20.4,18.67,8.47,1.53,Loss,0,0,AB,0.5,0.546448087431694,0.0464480874316939,18.47,0,0
Salah to score or assist,2025-03-11,Bet365,1.5,2.5,10,25,Smarkets,10.2,2.26,1.11,20.4,23.05,12.85,2.15,Loss,0,0,AB,0.4,0.442477876106195,0.0424778761061947,22.85,0,0
Resplendent Grey top 5,2025-03-11,Bet365,1.5,2.5,25,62.5,Smarkets,25.5,2.36,1.06,51,60.18,34.68,2.82,Win,0,2.82,AB,0.4,0.423728813559322,0.023728813559322,59.68,0.0472520107238606,1
Stencil to win,2025-03-11,Bet365,3.33,4.33,10,43.3,Smarkets,10.2,4.8,0.9,20.4,48.96,38.76,NA,Loss,0,0,AB,0.23094688221709,0.208333333333333,-0.0226135488837567,48.76,0,0
bambino to win,2025-03-11,Bet365,7,8,10,80,Smarkets,10.2,7.6,1.05,20.4,77.52,67.32,2.68,Win,0,2.68,AB,0.125,0.131578947368421,0.00657894736842105,77.32,0.0346611484738748,1
psg liverpool 11+ SOT,2025-03-11,Skybet,1,2,40,80,Smarkets,40.7,1.94,1.03,81.4,78.96,38.26,1.74,Loss,0,-0.11,AB,0.5,0.515463917525773,0.0154639175257733,78.26,-0.00140557117301303,0
Alisson 6+ saves in 90mins,2025-03-11,Skybet,6,7,20,140,Betdaq,20.4,6.4,1.09,40.8,130.56,110.16,9.84,Loss,0,-0.01,AB,0.142857142857143,0.15625,0.0133928571428572,130.16,-7.68285187461586e-05,0
Willie Mullins to train 2 or more winners,2025-03-11,Sky Bet,1,2,10,20,Betdaq,10.2,1.84,1.09,20.4,18.77,8.57,1.43,Win,0,1.43,AB,0.5,0.543478260869565,0.0434782608695652,18.57,0.0770059235325794,1
Workahead Top 5 Finish,2025-03-11,Betfair,1,2,10,20,Betdaq,10.2,1.79,1.12,20.4,18.26,8.06,1.94,Loss,0,0,AB,0.5,0.558659217877095,0.0586592178770949,18.06,0,0
Jonbon to win,2025-03-12,Bet365,1.75,2.75,20,55,Smarkets,20.4,1.97,1.4,40.8,40.19,19.79,15.21,Loss,0,-0.01,AB,0.363636363636364,0.50761421319797,0.143977849561606,39.79,-0.000251319426991706,0
JPR one top 5 finish,2025-03-12,Bet365,1.62,2.62,20,52.4,Smarkets,20.4,2.5,1.05,40.8,51,30.6,1.8,Loss,0,-0.01,AB,0.381679389312977,0.4,0.018320610687023,50.6,-0.000197628458498024,0
Copacabana to win,2025-03-12,Bet365,5.5,6.5,10,65,Smarkets,10.2,6.2,1.05,20.4,63.24,53.04,1.96,Loss,0,0,AB,0.153846153846154,0.161290322580645,0.0074441687344913,63.04,0,0
Vini 1+ SOT,2025-03-12,Bet365,1,2,10,20,Smarkets,10.2,1.84,1.09,20.4,18.77,8.57,1.43,Loss,0,0,AB,0.5,0.543478260869565,0.0434782608695652,18.57,0,0
Mbappe and Rodrygo 1+ SOT,2025-03-12,Bet365,2,3,5,15,Betdaq,5.1,2.9,1.03,10.2,14.79,9.69,0.31,Loss,0,0,AB,0.333333333333333,0.344827586206897,0.0114942528735633,14.69,0,0
Real vs Athletico 12+ SOT,2025-03-12,Skybet,3,4,10,40,Smarkets,10.2,3.6,1.11,20.4,36.72,26.52,3.48,Loss,0,0,AB,0.25,0.277777777777778,0.0277777777777778,36.52,0,0
Fact to file to win,2025-03-12,Betfair,2,3,10,30,Smarkets,10.2,2.56,1.17,20.4,26.11,15.91,4.09,Win,4.09,4.09,Both,0.333333333333333,0.390625,0.0572916666666667,25.91,0.157854110382092,1
Fact to file to win,2025-03-13,Bet365,2.5,3.5,10,35,Smarkets,10.2,2.64,1.33,20.4,26.93,16.73,8.27,Win,0,8.27,AB,0.285714285714286,0.378787878787879,0.0930735930735931,26.73,0.309390198279087,1
Jagwar to win,2025-03-13,Bet365,4.165,5.165,10,51.65,Smarkets,10.2,4.8,1.08,20.4,48.96,38.76,2.89,Win,0,2.89,AB,0.193610842207164,0.208333333333333,0.0147224911261697,48.76,0.0592698933552092,1
Fact to file to win,2025-03-13,Bet365,2.5,3.5,10,35,Smarkets,10.2,2.78,1.26,20.4,28.36,18.16,6.84,Win,0,6.84,AB,0.285714285714286,0.359712230215827,0.0739979445015417,28.16,0.242897727272727,1
Fact to file to win,2025-03-13,Skybet,2,3,10,30,Smarkets,10.33,2.64,1.14,20.66,27.27,16.94,3.06,Win,0,3.06,AB,0.333333333333333,0.378787878787879,0.0454545454545455,26.94,0.11358574610245,1
Jagwar to win,2025-03-13,Jagwar,3.5,4.5,10,45,Smarkets,10.2,4.9,0.92,20.4,49.98,39.78,NA,Win,0,-4.78,AB,0.222222222222222,0.204081632653061,-0.018140589569161,49.78,-0.0960224989955806,1
Galopin des Champs to win,2025-03-14,Sky Bet,1,2,10,20,Smarkets,10.2,1.59,1.26,20.4,16.22,6.02,3.98,Loss,0,0,AB,0.5,0.628930817610063,0.128930817610063,16.02,0,0
Galopin des Champs to win,2025-03-14,Bet365,1,2,10,20,Smarkets,10.2,1.57,1.27,20.4,16.01,5.81,4.19,Loss,0,0,AB,0.5,0.636942675159236,0.136942675159236,15.81,0,0
East india dock to win,2025-03-14,Betway,2.25,3.25,10,32.5,Smarkets,10.2,2.94,1.11,20.4,29.99,19.79,2.71,Loss,0,0,AB,0.307692307692308,0.340136054421769,0.032443746729461,29.79,0,0
Angels Dawn to win,2025-03-14,Bet365,4,5,10,50,Smarkets,10.2,4.5,1.11,20.4,45.9,35.7,4.3,Loss,0,0,AB,0.2,0.222222222222222,0.0222222222222222,45.7,0,0
Pickford 4+ saves,2025-03-15,Sky Bet,4,5,20,100,Smarkets,20.44,4.8,1.04,40.88,98.11,77.67,2.33,Win,0,2.33,AB,0.2,0.208333333333333,0.00833333333333333,97.67,0.0238558410975735,1
England To Score A Try In The 1st 10 Minutes Of The Match,2025-03-15,Sky Bet,2,3,10,30,Betdaq,10.2,2.83,1.06,20.4,28.87,18.67,1.33,Win,0,1.33,AB,0.333333333333333,0.353356890459364,0.0200235571260307,28.67,0.0463899546564353,1
haaland Pedro 1+ sot,2025-03-15,Betway,1.5,2.5,10,25,Betdaq,10,2.39,1.05,20,23.9,13.9,1.1,Loss,0,-0.2,AB,0.4,0.418410041841004,0.0184100418410041,23.9,-0.00836820083682008,0
Kluivert to score or assist,2025-03-15,Unibet,1.5,2.5,15,37.5,Betdaq,15.3,2.3,1.09,30.6,35.19,19.89,2.61,Loss,0,-0.01,AB,0.4,0.434782608695652,0.0347826086956522,34.89,-0.000286615075952995,0
Mbuemmo 1+ SOT and fouled once,2025-03-15,PP,2,3,5,15,Betdaq,5.1,2.7,1.11,10.2,13.77,8.67,1.33,Win,0,1.33,AB,0.333333333333333,0.37037037037037,0.037037037037037,13.67,0.0972933430870519,1
Bielle-Biarrey to score 2+ tries,2025-03-15,Sky Bet,2.5,3.5,10,35,Betdaq,10.2,3.3,1.06,20.4,33.66,23.46,1.54,Loss,0,0,AB,0.285714285714286,0.303030303030303,0.0173160173160173,33.46,0,0
Haaland FGS,2025-03-15,Unibet,3.75,4.75,10,47.5,Smarkets,10.2,4.4,1.08,20.4,44.88,34.68,2.82,Win,0,2.82,AB,0.210526315789474,0.227272727272727,0.0167464114832536,44.68,0.0631154879140555,1
Bowen score or assist,2025-03-15,Unibet,2.75,3.75,15,56.25,Smarkets,15.3,3.6,1.04,30.6,55.08,39.78,1.47,Win,0,1.47,AB,0.266666666666667,0.277777777777778,0.0111111111111111,54.78,0.0268346111719606,1
Odegaard 1+ SOT,2025-03-16,Sky Bet,1.5,2.5,10,25,Smarkets,10.28,2.36,1.06,20.56,24.26,13.98,1.02,Win,0,1.02,AB,0.4,0.423728813559322,0.023728813559322,23.98,0.042535446205171,1
Liverpool to Win,2025-03-16,Betvictor,1.25,2.25,10,22.5,Smarkets,10.2,1.81,1.24,20.4,18.46,8.26,4.24,Loss,0,0,AB,0.444444444444444,0.552486187845304,0.108041743400859,18.26,0,0
Cole palmer 1+ SOT,2025-03-16,Sky Bet,1,2,10,20,Betdaq,10.2,1.9,1.05,20.4,19.38,9.18,0.82,Void,0,0,AB,0.5,0.526315789473684,0.0263157894736842,19.18,0,NA
"Arsenal most corners and SOT, both teams to be carded",2025-03-16,Bet365,2,3,10,30,Betdaq,10,2.76,1.09,20,27.6,17.6,2.4,Win,0,2.4,AB,0.333333333333333,0.36231884057971,0.0289855072463769,27.6,0.0869565217391304,1
Salah to score or assist,2025-03-16,PP,1,2,50,100,Betdaq,50,1.84,1.09,100,92,42,8,Loss,0,-1,AB,0.5,0.543478260869565,0.0434782608695652,92,-0.0108695652173913,0
Wycombe win and 2.5+ goals,2025-03-18,WH,4,5,30,150,Smarkets,30,4.8,1.04,60,144,114,6,Win,0,6,AB,0.2,0.208333333333333,0.00833333333333333,144,0.0416666666666667,1
Luke humphries Win and throw 1.5+ 180s,2025-03-20,Bet365,1.5,2.5,10,25,Betdaq,10.2,2.22,1.13,20.4,22.64,12.44,2.56,Loss,0,0,AB,0.4,0.45045045045045,0.0504504504504504,22.44,0,0
"France, Italy and portugal to win",2025-03-20,BetMGM,14.5,15.5,10,155,Betdaq,10,14.5,1.07,20,145,135,10,Loss,0,-0.2,AB,0.0645161290322581,0.0689655172413793,0.00444938820912125,145,-0.00137931034482759,0
Yamal 1+ SOT Van Dijk 1+ foul,2025-03-20,Skybet,2,3,10,30,Betdaq,10,2.95,1.02,20,29.5,19.5,0.5,Loss,0,-0.2,AB,0.333333333333333,0.338983050847458,0.0056497175141243,29.5,-0.00677966101694915,0
Kane FGS,2025-03-21,Unibet,3.25,4.25,3,12.75,Smarkets,3,4.25,1,6,12.75,9.75,0,Loss,0,-0.06,AB,0.235294117647059,0.235294117647059,0,12.75,-0.00470588235294118,0
England to score in both halves,2025-03-21,Bet365,1.5,2.5,10,25,Smarkets,10.2,1.96,1.28,20.4,19.99,9.79,5.21,Win,0,5.21,AB,0.4,0.510204081632653,0.110204081632653,19.79,0.263264274886306,1
England to win and Kane to score or assist,2025-03-21,Unibet,1.5,2.5,10,25,Smarkets,10.2,2.06,1.21,20.4,21.01,10.81,4.19,Win,0,4.19,AB,0.4,0.485436893203884,0.0854368932038835,20.81,0.201345506967804,1
"England 2+ goals, 5 corners",2025-03-21,PP,2,3,5,15,Smarkets,5.1,2.66,1.13,10.2,13.57,8.47,1.53,Loss,0,0,AB,0.333333333333333,0.37593984962406,0.0426065162907268,13.47,0,0
Nunez 2+ SOT,2025-03-21,Skybet,3,4,60,240,Betdaq,60,4,1,120,240,180,0,Loss,0,-1.2,AB,0.25,0.25,0,240,-0.005,0
Notts County goal scored in both halves,2025-03-22,Betvictor,1.5,2.5,10,25,Smarkets,10.2,2.3,1.09,20.4,23.46,13.26,1.74,Loss,0,0,AB,0.4,0.434782608695652,0.0347826086956522,23.26,0,0
Dare to shout to win,2025-03-22,Betway,2.75,3.75,10,37.5,Smarkets,10.2,3.35,1.12,20.4,34.17,23.97,3.53,Loss,0,0,AB,0.266666666666667,0.298507462686567,0.0318407960199005,33.97,0,0
Wyenot to win,2025-03-22,Bet365,1.75,2.75,10,27.5,Smarkets,10.2,2.5,1.1,20.4,25.5,15.3,2.2,Loss,0,0,AB,0.363636363636364,0.4,0.0363636363636364,25.3,0,0
Virat Kohli to hit a 6,2025-03-22,Betfair,1.5,2.5,6,15,Betdaq,6.1,2.33,1.07,12.2,14.21,8.11,0.89,Win,0,0.89,AB,0.4,0.429184549356223,0.0291845493562232,14.11,0.0630758327427356,1
Paul Townend to ride 1+ winners today (Limerick),2025-03-23,Sky Bet,1,2,20,40,Betdaq,20.4,1.86,1.08,40.8,37.94,17.54,2.46,Win,0,2.46,AB,0.5,0.537634408602151,0.0376344086021505,37.54,0.0655301012253596,1
Portugual 10+ SOT v Denmark,2025-03-23,Sky Bet,7,8,30,240,Betdaq,30,7.7,1.04,60,231,201,9,Loss,0,-0.6,AB,0.125,0.12987012987013,0.00487012987012986,231,-0.0025974025974026,0
England 2.5+ goals and 6.5+ corners,2025-03-24,Unibet,1.5,2.5,10,25,Betdaq,10.2,1.96,1.28,20.4,19.99,9.79,5.21,Win,0,5.21,AB,0.4,0.510204081632653,0.110204081632653,19.79,0.263264274886306,1
England 2+ goals and 2+ corners in 1st half,2025-03-24,Bet365,2,3,10,30,Betdaq,10.2,2.67,1.12,20.4,27.23,17.03,2.97,Win,0,2.97,AB,0.333333333333333,0.374531835205993,0.0411985018726592,27.03,0.109877913429523,1
Jude 1+ SOT and fouled 1+ times,2025-03-24,Betfair,1,2,10,20,Betdaq,10,1.93,1.04,20,19.3,9.3,0.7,Loss,0,-0.2,AB,0.5,0.518134715025907,0.0181347150259068,19.3,-0.0103626943005181,0
"England win, have most corners, latvia most cards",2025-03-24,PP,1,2,5,10,Smarkets,5.1,1.74,1.15,10.2,8.87,3.77,1.23,Win,0,1.23,AB,0.5,0.574712643678161,0.0747126436781609,8.77,0.140250855188141,1
